wave,spec,std
578,0.108012509,0.036956766
579,0.108168486,0.036996912
580,0.108316299,0.037049229
581,0.108478828,0.037091209
582,0.108639641,0.037129779
583,0.108786348,0.037169017
584,0.108942359,0.037210319
585,0.109100096,0.037245646
586,0.109258813,0.037274004
587,0.109398249,0.037305889
588,0.109552291,0.03733542
589,0.109709423,0.037362591
590,0.109822622,0.037383914
591,0.109963634,0.03741025
592,0.110105866,0.037433859
593,0.110235296,0.037449334
594,0.110359678,0.037462645
595,0.110487089,0.037481617
596,0.110617867,0.037506709
597,0.110750502,0.037525237
598,0.110886412,0.037543067
599,0.111023227,0.037562158
600,0.111153842,0.037587467
601,0.111294745,0.037606263
602,0.111443085,0.03762294
603,0.111598297,0.03763884
604,0.111700913,0.037655458
605,0.111799994,0.037670933
606,0.111899976,0.037685519
607,0.111998919,0.037703426
608,0.112085758,0.037724451
609,0.112168375,0.037746869
610,0.112259555,0.037768322
611,0.112346626,0.03779231
612,0.112437103,0.037817274
613,0.112535613,0.037842877
614,0.112627867,0.037862782
615,0.112713722,0.037879447
616,0.11279668,0.037893978
617,0.112904727,0.037913473
618,0.112999505,0.037928757
619,0.113089595,0.037940394
620,0.113189042,0.037947644
621,0.113279282,0.03794889
622,0.113364822,0.037953407
623,0.113446803,0.037965207
624,0.113537443,0.037964275
625,0.113626491,0.037965291
626,0.113711191,0.0379687
627,0.113776267,0.037973687
628,0.113856671,0.037974792
629,0.113944546,0.03797715
630,0.114032389,0.037988786
631,0.114125998,0.03799252
632,0.114217652,0.037995722
633,0.114304783,0.038000539
634,0.114391303,0.038016078
635,0.11447449,0.038024156
636,0.114556571,0.038027082
637,0.114650627,0.03803802
638,0.114741915,0.038051008
639,0.114827496,0.038063428
640,0.114900067,0.038071768
641,0.11498157,0.038085463
642,0.115061926,0.038098814
643,0.115138231,0.038110257
644,0.115221466,0.038121882
645,0.115307599,0.038133203
646,0.115392602,0.038143755
647,0.115453846,0.03815049
648,0.115540518,0.038159998
649,0.115634138,0.038172012
650,0.115718675,0.038187255
651,0.115801817,0.038202341
652,0.115891972,0.038216738
653,0.115992769,0.03823036
654,0.116067457,0.038233825
655,0.116146228,0.038244578
656,0.116230144,0.038259725
657,0.116322518,0.038268067
658,0.116412347,0.038285536
659,0.116499574,0.038302292
660,0.116587941,0.038311177
661,0.116675301,0.038322247
662,0.116756626,0.038336207
663,0.116831598,0.038353048
664,0.116917866,0.03835974
665,0.117007567,0.038373999
666,0.117099466,0.038391223
667,0.117191298,0.038398529
668,0.117272895,0.038408419
669,0.117356753,0.038419059
670,0.117453026,0.038429469
671,0.11754124,0.038436993
672,0.117633732,0.038445409
673,0.117731337,0.038455198
674,0.117816621,0.038465312
675,0.117903169,0.038478773
676,0.117990362,0.038492862
677,0.118077366,0.038500931
678,0.118174621,0.038502043
679,0.118273362,0.03850528
680,0.118368604,0.0385169
681,0.118469208,0.038520574
682,0.118571395,0.038519716
683,0.118675125,0.038515213
684,0.118777552,0.038517841
685,0.118865615,0.038511179
686,0.118955164,0.03849844
687,0.119065968,0.038487615
688,0.119177168,0.038484006
689,0.119292346,0.038476257
690,0.119417093,0.038457579
691,0.119535065,0.038445955
692,0.119657923,0.038425612
693,0.119788173,0.03839551
694,0.119917271,0.038359111
695,0.12005732,0.038327493
696,0.120197597,0.038298117
697,0.120325837,0.038265828
698,0.120455256,0.038225153
699,0.120589394,0.038184237
700,0.12072946,0.038146797
701,0.12087011,0.038114019
702,0.121016582,0.038075665
703,0.121166892,0.038033533
704,0.121319092,0.038002686
705,0.121462093,0.037973821
706,0.121605606,0.037944788
707,0.121764642,0.037911557
708,0.121906817,0.037884372
709,0.122046029,0.037858715
710,0.122187043,0.037832901
711,0.122335558,0.037804729
712,0.122483254,0.037778744
713,0.12262883,0.037755455
714,0.122762653,0.037737425
715,0.122886612,0.037713449
716,0.123012249,0.037687509
717,0.123143689,0.037667451
718,0.123287507,0.037646923
719,0.123457566,0.037630097
720,0.123646396,0.037619795
721,0.123810411,0.037614523
722,0.123937911,0.037609077
723,0.124049826,0.037601938
724,0.124195337,0.037585994
725,0.124340235,0.037582051
726,0.124477106,0.037580665
727,0.124598969,0.037571739
728,0.124749579,0.037575744
729,0.124896306,0.037578961
730,0.125029125,0.037577999
731,0.125172955,0.037585033
732,0.125321452,0.037590696
733,0.125465963,0.037596766
734,0.125573894,0.037611429
735,0.125695066,0.037609078
736,0.125818488,0.037608926
737,0.125934226,0.037629877
738,0.126060312,0.037638824
739,0.126183042,0.037643174
740,0.126299279,0.03764431
741,0.126411423,0.037663838
742,0.126526177,0.037675073
743,0.126641489,0.03768014
744,0.126752426,0.03768392
745,0.12686492,0.037695661
746,0.126974738,0.037708701
747,0.127078017,0.037718145
748,0.12718995,0.037728436
749,0.127293709,0.037737873
750,0.127386,0.037746061
751,0.127491065,0.037754148
752,0.127595152,0.037761849
753,0.127698552,0.037769497
754,0.127802733,0.037778184
755,0.127909006,0.037791657
756,0.128010535,0.037807331
757,0.128105043,0.037825231
758,0.128096975,0.037808586
759,0.128093229,0.037789381
760,0.128144195,0.037777763
761,0.128373943,0.037775743
762,0.128501723,0.037790304
763,0.128581091,0.037814975
764,0.128697254,0.037847289
765,0.128831048,0.037863619
766,0.128938617,0.037879536
767,0.129022129,0.037902552
768,0.12910793,0.037911762
769,0.129193706,0.037921032
770,0.129281098,0.0379315
771,0.129357938,0.037937378
772,0.129434476,0.037939798
773,0.129510133,0.037944014
774,0.129582727,0.037962506
775,0.129665309,0.037968542
776,0.129747345,0.03797396
777,0.129824048,0.037984556
778,0.129899448,0.037989381
779,0.129977953,0.03799835
780,0.130059064,0.038010791
781,0.130134577,0.038010511
782,0.130210624,0.038012843
783,0.130286131,0.03801718
784,0.130357251,0.038023503
785,0.130431802,0.038024916
786,0.130499866,0.038024816
787,0.130555362,0.038024251
788,0.130623641,0.038025693
789,0.130697345,0.03802784
790,0.130773508,0.038030559
791,0.130831717,0.038033384
792,0.130894121,0.038036232
793,0.130960336,0.038037993
794,0.131031828,0.038036265
795,0.131088877,0.038038806
796,0.131149207,0.038043603
797,0.131219506,0.03805031
798,0.131272997,0.038049792
799,0.131323789,0.038048044
800,0.131374142,0.038045601
801,0.131431748,0.038044242
802,0.131492584,0.038043963
803,0.131550176,0.038043175
804,0.131593673,0.038039452
805,0.131647689,0.038037334
806,0.131702947,0.038035767
807,0.131757734,0.03803448
808,0.131796935,0.038030355
809,0.131836075,0.038026823
810,0.131876282,0.038022848
811,0.131922219,0.038012008
812,0.131957653,0.038009712
813,0.131986151,0.038009129
814,0.132005335,0.038002065
815,0.132037155,0.037988086
816,0.132078565,0.037977841
817,0.13212838,0.03797542
818,0.132184001,0.037968516
819,0.132239567,0.037963847
820,0.132287582,0.037961158
821,0.132296673,0.037960337
822,0.132321446,0.037941872
823,0.132365379,0.037923923
824,0.132433081,0.037927028
825,0.132468567,0.037915256
826,0.132490858,0.03790441
827,0.132504108,0.037896986
828,0.132540234,0.037888192
829,0.132569036,0.037882002
830,0.132594216,0.037877374
831,0.132630907,0.037870558
832,0.132662971,0.03786057
833,0.13270061,0.037849217
834,0.132753732,0.037837505
835,0.132781774,0.037831036
836,0.132799096,0.037823753
837,0.132808382,0.037814847
838,0.132826104,0.037812161
839,0.132854674,0.037803155
840,0.132886126,0.037789329
841,0.132897768,0.037772676
842,0.132927426,0.037767369
843,0.132965435,0.03775968
844,0.133008083,0.037738793
